Sl. No,Payment/Receipt,Department,Head,Sub-Head,P/R Code,Work description,Accounts 2017-18,Budget Estimates 2018-19,Revised Estimates 2018-19,2019-20 Revenue,2019-20 Capital,2019-20 Total
559,Payments,11. Solid Waste Management,Infrastructure,Scientific disposal of Solid Waste,P3116 ,K.C.D.C. (Karnataka Compost Development Corporation),321.25,400,400,400,-,400
560,Payments,11. Solid Waste Management,Infrastructure,Scientific Sanitary Landfill Maintenance,P0968 ,Maintenance of Land Fill / Waste Dumping yards,361.13,-,95,-,-,-
561,Payments,11. Solid Waste Management,Infrastructure,Scientific Sanitary Landfill Maintenance,P0968 ,Pending Bills,-,-,-,118,-,118
562,Payments,11. Solid Waste Management,Infrastructure,Scientific Sanitary Landfill Maintenance,P2176 ,O & M to BBMP Garbage Vehicles,8.07,200,150,350,-,350
563,Payments,11. Solid Waste Management,Infrastructure,Scientific Sanitary Landfill Maintenance,P2345 ,Hire Charges of SWM Vehicles,-,50,10,50,-,50
564,Payments,11. Solid Waste Management,Infrastructure,Scientific Sanitary Landfill Maintenance,P3230 ,O & M of GPS to Vehicles related to solid waste for Monitoring & Biometric attendence system,-,30,12,40,-,40
565,Payments,11. Solid Waste Management,Infrastructure,Scientific Sanitary Landfill Maintenance,P3234 ,Promote Institute Composting,-,50,10,50,-,50
566,Payments,11. Solid Waste Management,Infrastructure,Scientific Sanitary Landfill Maintenance,P0936 ,Security Service to Landfill,25.67,25,25,25,-,25
567,Payments,11. Solid Waste Management,Infrastructure,Scientific Sanitary Landfill Maintenance,P1521 ,Tipping Fees / Transportation to segregation Point,135.3,800,500,500,-,500
568,Payments,11. Solid Waste Management,Infrastructure,Public Health,P0117 ,Construction of Abattoir - Projects,-,73,-,-,-,-
569,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3385 ,Construction of Cattle Pound at Bingipura & Shetty Halli,-,160,-,-,-,-
570,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3386 ,Construction of Kennels at Panattur and Ulsoor Veterinary Hospital,-,450,-,-,-,-
571,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3581 ,Construction of Animal birth contol centre in new zones,-,-,-,-,500,500
572,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3362 ,"Development of Land fill site at Subramanyapura, Lingadeeranahalli, Kannahalli, Seegehalli",-,"1,200.00",200,-,-,-
573,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3362 ,Pending Bills,-,-,-,-,794,794
574,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3362 ,Current Works,-,-,-,-,"1,000.00","1,000.00"
575,Payments,11. Solid Waste Management,Infrastructure,Public Health,P2223 ,Development of surrounding villages of Solid waste station at Mandur and Mavalipura,-,128,100,-,-,-
576,Payments,11. Solid Waste Management,Infrastructure,Public Health,P2223 ,Pending Bills,-,-,-,-,210,210
577,Payments,11. Solid Waste Management,Infrastructure,Public Health,P2223 ,Current Works,-,-,-,-,"1,000.00","1,000.00"
578,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3235 ,Construction of Mustering Centre for Pourkarmikas in required places,-,500,-,-,-,-
579,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3235 ,Pending Bills,-,-,-,-,91,91
580,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3162 ,Development Works Surrounding SWM Dumping yard area of Doddabidarakallu Villages,"1,971.53","1,144.00",100,-,-,-
581,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3162 ,Pending Bills,-,-,-,-,18,18
582,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3162 ,Current Works,-,-,-,-,"1,000.00","1,000.00"
583,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3339 ,Developmental works at Bingipura surroundings,-,-,-,-,-,-
584,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3339 ,Pending Bills,-,-,-,-,192,192
585,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3428 ,Setting up of New Waste to Energy Plant at Kannalli & Mavalipura by BBMP Rs.40.00 Cr Each,-,"8,000.00",-,-,-,-
586,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3582 ,Development Works at Surrounding K.CDC,-,-,-,-,"1,000.00","1,000.00"
587,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3583,Development Works at Mandur Surroundings,-,-,-,-,"1,000.00","1,000.00"
588,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3584 ,Development Works at Bellalli Qaurries Surroundings,-,-,-,-,"1,500.00","1,500.00"
589,Payments,11. Solid Waste Management,Infrastructure,Public Health,P3475 ,Development of SWM Quarries,-,"1,000.00",-,-,-,-
590,Payments,11. Solid Waste Management,Infrastructure,Public Health,P1737 ,Purchase of SWM Equipments,-,-,30,-,-,-
591,Payments,11. Solid Waste Management,Infrastructure,Public Health,P0279 ,Storing & Sorting area for secondary Collection,99.61,339,5,-,-,-
592,Payments,11. Solid Waste Management,Infrastructure,Public Health,P0279 ,Pending Bills,-,-,-,-,20,20
593,Payments,11. Solid Waste Management,O & M SWM,Public Health,P0274 ,"Cleaning & Transportation of Garbage, Toilets & Urinals (Escrow Account)","85,204.49","65,000.00","70,000.00","37,500.00",-,"37,500.00"
594,Payments,11. Solid Waste Management,O & M SWM,Public Health,P3585 ,Direct Payment to outsourced Pourakarmikas for SWM(from SFC Untied & BBMP Grant) (Escrow Account),-,-,-,"37,500.00",-,"37,500.00"
595,Payments,11. Solid Waste Management,O & M SWM,Public Health,P0277 ,Conservancy articles,8.31,100,150,100,-,100
596,Payments,11. Solid Waste Management,O & M SWM,Public Health,P0373 ,Push Carts & Bins,8.89,-,45,-,-,-
597,Payments,11. Solid Waste Management,O & M SWM,Public Health,P0275,Decentralised Composting,12.2,10,20,-,-,-
598,Payments,11. Solid Waste Management,O & M SWM,Public Health,P3361 ,Compost Santhe Awareness Programmes in All Wards - Conversion of Wet waste to Compost,1.18,50,5,25,-,25
599,Payments,11. Solid Waste Management,O & M SWM,Public Health,P3236 ,Maintenance of Mustering Centre-Basic Amenities,-,25,10,25,-,25
600,Payments,11. Solid Waste Management,GOI Grants Works,Swaccha Bharath Abhiyana,P3112 ,Construction of Toilets under Swaccha Bharath Abhiyana,755.36,"1,159.00","2,800.00",-,-,-
601,Payments,11. Solid Waste Management,GOI Grants Works,Swaccha Bharath Abhiyana,P3112 ,Pending Bills,-,-,-,-,"5,000.00","5,000.00"
602,Payments,11. Solid Waste Management,GOI Grants Works,Finance Commission Grants,P3298 ,14th Finance Commission -Solid Waste Management,-,"4,575.00","2,000.00",-,-,-
603,Payments,11. Solid Waste Management,GOI Grants Works,Finance Commission Grants,P3298 ,Spillover Works,-,-,-,-,510,510
604,Payments,11. Solid Waste Management,GOI Grants Works,Finance Commission Grants,P3298 ,Current Works (As per annexure),-,-,-,-,"6,100.00","6,100.00"
605,Payments,11. Solid Waste Management,GOK Zonal Ward Works(Capital),Infrastructure,P3158 ,SIP Infrastructure Project Works,"13,059.00","20,000.00","14,962.00",-,-,-
606,Payments,11. Solid Waste Management,GOK Zonal Ward Works(Capital),Infrastructure,P3158 ,Pending Bills,-,-,-,-,680,680
607,Payments,11. Solid Waste Management,GOK Zonal Ward Works(Capital),Infrastructure,P3158 ,Spillover Works,-,-,-,-,"15,000.00","15,000.00"
608,Payments,11. Solid Waste Management,GOK Zonal Ward Works(Capital),Infrastructure,Total,Total of Solid Waste Management Dept.,"1,02,150.36","1,06,838.00","92,329.00","78,266.00","35,914.00","1,14,180.00"
609,Payments,12. Town Planning,Administrative Expenses,General Expenses,P0050 ,Digitalisation of Building Plans,-,1,1,1,-,1
610,Payments,12. Town Planning,Administrative Expenses,General Expenses,P1751 ,Computerisation of TP section,-,5,5,5,-,5
611,Payments,12. Town Planning,Administrative Expenses,General Expenses,Total,Total of Town Planning Dept.,0,6,6,6,0,6
612,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P0055 ,Encroachment Clearance Expenses (Demolition Charges),54.89,441.3,100,250,-,250
613,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3155 ,Immersion of Ganesha Idols,204.26,393,200,-,-,-
614,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3155 ,Pending Bills,-,-,-,19,-,19
615,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3155 ,Current Works,-,-,-,400,-,400
616,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3306 ,Disaster Management (C40-Air Pollution Control Command Room with Sensors),-,"2,000.00",-,-,-,-
617,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3156 ,Maintenance of Control Room in all zones,90.57,151,100,-,-,-
618,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3156 ,Pending Bills,-,-,-,24,-,24
619,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3156 ,Current Works,-,-,-,200,-,200
620,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3239 ,Upgradation of Zonal Control Rooms,-,25,-,-,-,-
621,Payments,13. Public Works Zonal,Administrative Expenses,General Expenses,P3387 ,Creation of Quality control and testing facilities,-,200,100,-,800,800
622,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2959 ,Comprehensive Development of Spillover Works in BTM Layout Constituency,195.76,132,100,-,-,-
623,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2959 ,Pending Bills,-,-,-,-,"1,410.00","1,410.00"
624,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2502 ,Development of Drains and footpaths in Ward No. 86,10.42,-,-,-,-,-
625,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2723 ,Construction of Concrete drainage at Kogilu in Agrahara Layout,116,-,-,-,-,-
626,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2818 ,Improvements of Concrete roads and covering slab in Ward No 53,95.38,-,-,-,-,-
627,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2845 ,Construction of RCC wall in Kanakapura road to Bhavaninagar Subramanyapura in Ward No 180,74.61,200,10,-,-,-
628,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2845 ,Pending Bills,-,-,-,-,98,98
629,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2460 ,Development Works in Ward no 31,9.81,-,-,-,-,-
630,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2759 ,"Improvements of footpaths, roads and drains in Ward 87",66.1,-,-,-,-,-
631,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P3355 ,Road development works at ward no 98,-,300,-,-,-,-
632,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2458 ,Developmental works in Ward No. 127,26.73,-,-,-,-,-
633,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2517 ,Asphalting and road related works in ward no 36,243.17,-,-,-,-,-
634,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2772 ,"Improvements of Footpaths, roads and drains in Ward 128",19.89,14.5,-,-,-,-
635,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2772 ,Pending Bills,-,-,-,-,14,14
636,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2803 ,"Improvements of Footpaths, roads and drains and development works in Nlathikere",24.19,22,22,-,-,-
637,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2804 ,"Developmental works at Thippenahalli,Chennanayakanapal ya and Andhrahalli",16.73,-,-,-,-,-
638,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2804 ,Pending Bills,-,-,-,-,35,35
639,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2833 ,Asphalting to roads and development of footpath in Benson town and Jayamahal surrounding area in ward no 63,30.44,-,37,-,-,-
640,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2914 ,Improvements of Roads & Footpath in Ward No. 147,65.04,16,2,-,-,-
641,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P2957 ,Comprehensive Development of Spillover Works in Sarvagnanagar Constituency,697.59,327,45,-,-,-
642,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P3352 ,Development works in Sarvagnanagar Assembly Constituency,-,-,-,-,-,-
643,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P3352 ,Pending Bills,-,-,-,-,578,578
644,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P3359 ,Development works in Mahalakshmi Layout Assembly Constituency,-,-,25,-,-,-
645,Payments,13. Public Works Zonal,Infrastructure,Road Related Works,P3359 ,Pending Bills,-,-,-,-,315,315
646,Payments,13. Public Works Zonal,Infrastructure,Buildings,P0462 ,M & R of BBMP Markets Buildings ,25.4,407,150,-,-,-
647,Payments,13. Public Works Zonal,Infrastructure,Buildings,P0462 ,Pending Bills,-,-,-,45,-,45
648,Payments,13. Public Works Zonal,Infrastructure,Buildings,P0462 ,Current Works,-,-,-,500,-,500
649,Payments,13. Public Works Zonal,Infrastructure,Buildings,P0475 ,M & R of Education Buildings,-,28,5,-,-,-
650,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3388 ,Repairs & Maintenance of BBMP Quarters,-,100,-,-,-,-
651,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3388 ,Pending Bills,-,-,-,60,-,60
652,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3388 ,Current Works,-,-,-,100,-,100
653,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3668 ,Maintence of BBMP Building in Jayanagar,-,-,-,500,-,500
654,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3476 ,Repairs and development of BBMP quarters B&C Block Mission Road,-,50,-,50,-,50
655,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3092 ,Maintenance of Community hall Library Anganwadi School building Health Centers in Yediyur Ward,-,15,-,38,-,38
656,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3093 ,Providing security and cleaning to Stadium tailoring center Market complex in Yediyur Ward,-,48.5,36,50,-,50
657,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3389 ,"Providing house keeping services Yediyur complex, Vajapayee ground, Dialysis centre, Primary Health Centre, Badminton Court,Ambara chum-bana, Mahila Mandali and tailoring centre etc ., ward No 167",-,30,-,35,-,35
658,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3390 ,"Providing Security services to Kempegowda Playground, Parks, Tailoring/Yoga centre, ward office in Shankar mutt ward",-,40,-,40,-,40
659,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3628 ,Construction/Renovation of South zone office meeting hall,-,-,-,100,-,100
660,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3153 ,Providing Generator Set in Yediyur shopping complex,-,42,42,-,-,-
661,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3153 ,Pending Bills,-,-,-,41,-,41
662,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3240 ,Maintenance of Electrical Crematorium Civil Works,-,50,-,-,-,-
663,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3240 ,Pending Bills,-,-,-,10,-,10
664,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3241 ,Maintenance of Existing Community Halls (Core Areas),-,100,-,-,-,-
665,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3241 ,Pending Bills,-,-,-,52,-,52
666,Payments,13. Public Works Zonal,Infrastructure,Buildings,P3241 ,Current Works,-,-,-,150,-,150
667,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P1880 ,Civil Works (Maintenance),9.23,130,5,-,-,-
668,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P1880 ,Pending Bills,-,-,-,65,-,65
669,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P0603 ,Debris Clearance,50.36,70,62,-,-,-
670,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P0603 ,Pending Bills,-,-,-,39,-,39
671,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P0603 ,Spillover Works,-,-,-,20,-,20
672,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P0598 ,Desilting of Tertiary drains,64.72,52,95,-,-,-
673,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P0598 ,Pending Bills,-,-,-,8,-,8
674,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P0598 ,Current Works,-,-,-,100,-,100
675,Payments,13. Public Works Zonal,Infrastructure,O & M Works,P2103 ,Emergency Works (Maintenance & Repairs),255.72,158,200,-,-,-
